BLOCK ID,TIME STAMP,PARENT ID,MINER,SLOW,LOW_CPU,PRIVATE
4833390aafd66410e50d6c452c7a8e7a05edf4a23100bc741d63af1ab57f280c,0,NULL,0,0,0,0
260b7884d67db2abbef12db69d22c32413e65d3045b27b3a60b6a40b02f61872,5419.341722766713,4833390aafd66410e50d6c452c7a8e7a05edf4a23100bc741d63af1ab57f280c,100,1,1,0
12c07901ab962d9577e8882c5653e2b6a36c792df762b887260d522300681c98,20871.316336014446,260b7884d67db2abbef12db69d22c32413e65d3045b27b3a60b6a40b02f61872,30,0,1,0
9232ba81ddcce5b748377533f5b259fad69e952c7344dfbefcbeecc4e75326a0,29322.909717028713,12c07901ab962d9577e8882c5653e2b6a36c792df762b887260d522300681c98,25,1,1,0
5be6a3c99a187e122c04ed675dc27f22212169e8c40005fc8fcae624079d5d95,31025.737274820687,9232ba81ddcce5b748377533f5b259fad69e952c7344dfbefcbeecc4e75326a0,1,0,2,0
e74924a54b4b4d3ade5c0cf52ec162507042299c3d02ce4ff4aa5ab76a2cb77e,31508.075072069023,9232ba81ddcce5b748377533f5b259fad69e952c7344dfbefcbeecc4e75326a0,10,1,1,0
a11809fedcecb6506926df50b7655a5677929cf95dc8ec3ce0bf1f8d93bb16ce,34776.0168889355,e74924a54b4b4d3ade5c0cf52ec162507042299c3d02ce4ff4aa5ab76a2cb77e,96,1,1,0
583fdc9b5e791e25333e453c33559b688396065128b5d3966e7f21b2d8e00a03,39489.07400089575,a11809fedcecb6506926df50b7655a5677929cf95dc8ec3ce0bf1f8d93bb16ce,69,1,1,0
c003a94afed0cd7f1844d8b0d5f3e230a3ea6ae6b2b5fc808107a3f0b5008fe7,41414.98334842468,583fdc9b5e791e25333e453c33559b688396065128b5d3966e7f21b2d8e00a03,1,0,2,0
5f4b7150c872046444de354cf0ae476e87377f6a83a4eb50754948904b455179,43268.40828507075,583fdc9b5e791e25333e453c33559b688396065128b5d3966e7f21b2d8e00a03,20,0,1,0
686699fc375ed39bf52e1b3c2b16b6ece6aebfa4527e7082e49ebddf0de29eef,47376.60588240731,c003a94afed0cd7f1844d8b0d5f3e230a3ea6ae6b2b5fc808107a3f0b5008fe7,1,0,2,0
2b5a16d30a76a057d17d9f7a9044b0e4c8f2eb34eeeb67f2f7c37648626d199a,47952.11585884837,686699fc375ed39bf52e1b3c2b16b6ece6aebfa4527e7082e49ebddf0de29eef,1,0,2,0
2cd81dfea97c88c2d2d5744bc96a7e8aa8ab42e6440664c9480b306b1774226c,58869.9432988129,686699fc375ed39bf52e1b3c2b16b6ece6aebfa4527e7082e49ebddf0de29eef,56,1,1,0
9f5d96e64af6795682805062213e6454385c96eb395a8e07affc85133c471be4,54451.36823552501,2b5a16d30a76a057d17d9f7a9044b0e4c8f2eb34eeeb67f2f7c37648626d199a,1,0,2,0
2796614ede8f9a50f016b805a399c70c73723b1c63c3dc015b0a7c35fe56ded1,79321.07716795756,9f5d96e64af6795682805062213e6454385c96eb395a8e07affc85133c471be4,30,0,1,0
4b1840251b078a2bcc1ced072c947368781afc51907284ac96e489371ad64c08,82207.04754335561,2796614ede8f9a50f016b805a399c70c73723b1c63c3dc015b0a7c35fe56ded1,28,0,1,0
8eb4e8f66962a11ef294a94dc853b02d32020baa42066b5f5013637206a3427f,86033.13012262221,4b1840251b078a2bcc1ced072c947368781afc51907284ac96e489371ad64c08,29,0,1,0
44946b36a880bf91cd668326f78d8cb950aeb134ad7c027a48a46b64f752fb14,91465.77274517999,8eb4e8f66962a11ef294a94dc853b02d32020baa42066b5f5013637206a3427f,1,0,2,0
12fa7f1d97fdc5242607a38cfa383e44741ccf501dbf68cf7a4504bf73fde2f9,92731.76291582534,8eb4e8f66962a11ef294a94dc853b02d32020baa42066b5f5013637206a3427f,33,1,1,0
fb860d384f74909d4b207161a82d08f92b606dfa664aef32f4d5cf04c4fc2d51,98057.01836160677,12fa7f1d97fdc5242607a38cfa383e44741ccf501dbf68cf7a4504bf73fde2f9,82,1,1,0
c930f5c3c566de5fa31b54bfc75f0bfccfaf736e53d5ac975d89c94bf3ec48f2,107006.59229847838,fb860d384f74909d4b207161a82d08f92b606dfa664aef32f4d5cf04c4fc2d51,96,1,1,0
becc3c1de356acf0b4379eaccc4c4d7c3f875c872b947a295ca889153a565723,107835.98987675093,fb860d384f74909d4b207161a82d08f92b606dfa664aef32f4d5cf04c4fc2d51,20,0,1,0
6dddfcd04347f10091a84518ec0c8f3db6ebbd129bdc0617d2f6a1c5f078782f,109526.53939404253,c930f5c3c566de5fa31b54bfc75f0bfccfaf736e53d5ac975d89c94bf3ec48f2,72,0,1,0
c359adf1715b846685c348dff09c3b080dea0c6b623d8d29e960d6f4a0ab2692,111960.59573423554,6dddfcd04347f10091a84518ec0c8f3db6ebbd129bdc0617d2f6a1c5f078782f,1,0,2,0
130a7f1f440af3b4d305733fdbbf3416c7d6b03443992fecbe8b52280b3e09f4,117117.06990581367,6dddfcd04347f10091a84518ec0c8f3db6ebbd129bdc0617d2f6a1c5f078782f,78,1,1,0
f60c84d8258f0e7f657925257f546276462f8d173c82888aefaf0f6f434efa80,121741.56456463931,130a7f1f440af3b4d305733fdbbf3416c7d6b03443992fecbe8b52280b3e09f4,98,0,1,0
d596e393dba3599f2242c01070e8db4cf5ba849c56b94a39bf389808e6b8bb3e,121930.01111092496,130a7f1f440af3b4d305733fdbbf3416c7d6b03443992fecbe8b52280b3e09f4,40,1,1,0
e80cdb6f26717a9347d1f715ac2afca71b7b6f788ab99413e18f275b948d2e8d,124128.68112673594,d596e393dba3599f2242c01070e8db4cf5ba849c56b94a39bf389808e6b8bb3e,92,0,1,0
76a0f56c201fe18436f33d19514ae0e7cc9babfe74b79fdc30a052ec89e6753e,126162.83440181764,e80cdb6f26717a9347d1f715ac2afca71b7b6f788ab99413e18f275b948d2e8d,5,1,1,0
