BLOCK ID,TIME STAMP,PARENT ID,MINER,SLOW,LOW_CPU,PRIVATE
8ab43c1171a0a10d33c1a4d5b7f1d1a61557c00e69569a2758b7f82b2a36cfb8,0,NULL,0,0,0,0
ed4577bd463f9bb3eee497f4cc52e82dcc08ba9432759b21f493e6c83a5e5f6e,5944.2374511016515,8ab43c1171a0a10d33c1a4d5b7f1d1a61557c00e69569a2758b7f82b2a36cfb8,1,0,2,0
7c35ba8b7b9a23e0f60f184a60f4867428bce6e0d3df8e29a887118a4aa91f3a,23498.33291753025,8ab43c1171a0a10d33c1a4d5b7f1d1a61557c00e69569a2758b7f82b2a36cfb8,91,1,1,0
dc1e201087d5cae38197e1817d19d6a17991e0648f6dff2933c789750b627c89,24168.125634902823,8ab43c1171a0a10d33c1a4d5b7f1d1a61557c00e69569a2758b7f82b2a36cfb8,2,0,3,0
c4d5c5629f479ffbf3f9b0fc5f2dea42a3fe051fa3914b4cd0a8c59119bf05f8,24184.447675620468,dc1e201087d5cae38197e1817d19d6a17991e0648f6dff2933c789750b627c89,2,0,3,0
a04185788918c6cae889305dd30506d6a171d9f0fc58f6e71ac1ab1e451c7a78,25692.70414827138,c4d5c5629f479ffbf3f9b0fc5f2dea42a3fe051fa3914b4cd0a8c59119bf05f8,15,0,1,0
77bcbfb318d7f063a0ff9ae4351356aa3d8ca153a3c28911c793e934150e3ea8,45867.69166789394,a04185788918c6cae889305dd30506d6a171d9f0fc58f6e71ac1ab1e451c7a78,10,0,1,0
62a950b46615caf951b563d86b75ee415ce44bf23e7e8716994356ef28a94efd,46927.05212541547,a04185788918c6cae889305dd30506d6a171d9f0fc58f6e71ac1ab1e451c7a78,2,0,3,0
36013d2da5c4163004bbc854d24933505bfe5b4b5acb8ffdaa258d6903106690,49631.24570918277,77bcbfb318d7f063a0ff9ae4351356aa3d8ca153a3c28911c793e934150e3ea8,1,0,2,0
00f11e438734d17c054f411044f7f9d4c661602436705cabb5e831da93d733eb,56759.50237848576,77bcbfb318d7f063a0ff9ae4351356aa3d8ca153a3c28911c793e934150e3ea8,15,0,1,0
