BLOCK ID,TIME STAMP,PARENT ID,MINER,SLOW,LOW_CPU,PRIVATE
7c678847ea8061d8c303b0e6b15113543845896d75170bd770d7177d3bee2e38,0,NULL,0,0,0,0
b5fa33f2b9a96b0c3f26ba9115879ab694f413a0c4f5bed4df65a55619a850fe,14400.190674992653,7c678847ea8061d8c303b0e6b15113543845896d75170bd770d7177d3bee2e38,1,0,2,0
1ba6d8b49379e1b5610745ea9cdd9100ba8d835068ac5b3ad797fa7301743a04,15289.785447601445,7c678847ea8061d8c303b0e6b15113543845896d75170bd770d7177d3bee2e38,48,1,1,0
95f10ff225ecf73454198b38a4437571d10200d69322e3fb136a7c1acc599dec,21198.67858704334,1ba6d8b49379e1b5610745ea9cdd9100ba8d835068ac5b3ad797fa7301743a04,37,1,1,0
5679a4b77ef3628c8ff5fcf109807f4b6cb391ea0236d49991fc3e7c40aa2b4c,22458.241600299752,95f10ff225ecf73454198b38a4437571d10200d69322e3fb136a7c1acc599dec,89,1,1,0
f0ac0bda9ac2514bf17d500c94d65319ae35dfb2a3438b414b2a6342e28da146,29197.48997296464,5679a4b77ef3628c8ff5fcf109807f4b6cb391ea0236d49991fc3e7c40aa2b4c,53,1,1,0
dc3b8a89e51eeee6e5ea7fe64415164b85b353d75a9118a828a304f0fff8546f,29505.306658733018,5679a4b77ef3628c8ff5fcf109807f4b6cb391ea0236d49991fc3e7c40aa2b4c,11,0,1,0
3bda2abe6eda90111af8a535ab21780bea2dac5cfc288818d50ec23744af1077,31460.042356829978,f0ac0bda9ac2514bf17d500c94d65319ae35dfb2a3438b414b2a6342e28da146,26,0,1,0
cf07d2719768cd3bb19972bd7c0948059fd4a6b8cb7f1248c364c6dc3eb891ca,31019.786353544685,dc3b8a89e51eeee6e5ea7fe64415164b85b353d75a9118a828a304f0fff8546f,12,1,1,0
689103246793c5237ffdca41e57ed1351bb5cee48c0a7a0eb8afc945dae87efa,37591.51759256742,cf07d2719768cd3bb19972bd7c0948059fd4a6b8cb7f1248c364c6dc3eb891ca,42,1,1,0
e5c66ab115c1c0bebeb75b70483efe392989fa88b00762d6503928bee977485c,38846.375216129316,689103246793c5237ffdca41e57ed1351bb5cee48c0a7a0eb8afc945dae87efa,12,1,1,0
1fe7885790a14a92324638555e397aafd53a2bc68501dfbeda718e827d168254,40162.99921957911,e5c66ab115c1c0bebeb75b70483efe392989fa88b00762d6503928bee977485c,34,0,1,0
d8be21cf565b21b1a0bc088460355ed112cf277c75dd01f2a8e7d3cf8e916a2f,41961.453326893235,1fe7885790a14a92324638555e397aafd53a2bc68501dfbeda718e827d168254,53,1,1,0
fd59c5ad4270cf24f65f9256fc387e0ce62bfe87d04bb1ce0fcd943c35a65c40,43051.33823221253,d8be21cf565b21b1a0bc088460355ed112cf277c75dd01f2a8e7d3cf8e916a2f,1,0,2,0
5c9d724ecaf6a72c520000a13c15089f11aaf79dff0315880a8541304f66d097,44268.2116520092,d8be21cf565b21b1a0bc088460355ed112cf277c75dd01f2a8e7d3cf8e916a2f,84,1,1,0
b7862a31aa0b1de80c5eb1235ac2811d90582b4c4c90ffccaf2c3a49ffc7efef,50453.098267132125,5c9d724ecaf6a72c520000a13c15089f11aaf79dff0315880a8541304f66d097,43,1,1,0
f1528029becfa21ef3a9f4f97f673cdd36e64fb5e8597606bcbd3a6638f3eac8,53500.10990368705,b7862a31aa0b1de80c5eb1235ac2811d90582b4c4c90ffccaf2c3a49ffc7efef,79,1,1,0
5258b44083e0ca69f82a97579f83bf6a91dcc8de0d6a941906708e0f52d8db30,54079.92058998199,f1528029becfa21ef3a9f4f97f673cdd36e64fb5e8597606bcbd3a6638f3eac8,60,0,1,0
c5318edc0458508c644f6d9110b14d73ecf40bde62cebf3982be0d7241b81b27,54808.042852652376,5258b44083e0ca69f82a97579f83bf6a91dcc8de0d6a941906708e0f52d8db30,45,1,1,0
cdc69572abeed38be7dafad72c0367512a1be259f689d7462043d2d67d7c9bf1,56137.49016776368,c5318edc0458508c644f6d9110b14d73ecf40bde62cebf3982be0d7241b81b27,57,0,1,0
