BLOCK ID,TIME STAMP,PARENT ID,MINER,SLOW,LOW_CPU,PRIVATE
d9e245f3fa10ea538235d71cf4763e99fa7e71e4b6f2585989251dda16fc3560,0,NULL,0,0,0,0
a1f0a9b87bce910426ad8c4a55d44656e8d29c0d154a49c97e31c8219847e90d,52696.641454250246,d9e245f3fa10ea538235d71cf4763e99fa7e71e4b6f2585989251dda16fc3560,1,0,2,0
29cb2347fdd06ddda7fe64bf6dee5047dd882c9186b5e1f326ec570cc8d12ffb,52704.173709081115,d9e245f3fa10ea538235d71cf4763e99fa7e71e4b6f2585989251dda16fc3560,93,0,1,0
8b0b5af39d3f50cc0cc9d71018287ab75a7329d1945e510c3e096df56ef9ef33,53938.323015184826,a1f0a9b87bce910426ad8c4a55d44656e8d29c0d154a49c97e31c8219847e90d,32,1,1,0
82441626847a77dbbca2ddc33bb63b00d86ed80479ec2396464df09e0cc94ad3,54315.49724450005,a1f0a9b87bce910426ad8c4a55d44656e8d29c0d154a49c97e31c8219847e90d,1,0,2,0
65ac791cdad57a3f69ac61d904a8859c1981c2016cf4d30603757fddd9a1f8e7,55855.223077096765,8b0b5af39d3f50cc0cc9d71018287ab75a7329d1945e510c3e096df56ef9ef33,5,0,1,0
4961acc261fdbb6a0ee665aa62c498ca16808e781ac56244edcde25fdadbab06,56837.17785836363,82441626847a77dbbca2ddc33bb63b00d86ed80479ec2396464df09e0cc94ad3,1,0,2,0
c40a5c2d7205b61c212b32649bba914085e2a2d78f937d7f06d856c48067edaa,67977.83021981937,65ac791cdad57a3f69ac61d904a8859c1981c2016cf4d30603757fddd9a1f8e7,77,1,1,0
578595e1e6c206792db979ac736043df86e7b87ec8106ab41b439951c1e01759,69407.986478892,4961acc261fdbb6a0ee665aa62c498ca16808e781ac56244edcde25fdadbab06,1,0,2,0
64d78d5fab0ab33394f10ee5f58ad134081878d36cf944555630d6566b8f1cb5,149302.86027346054,c40a5c2d7205b61c212b32649bba914085e2a2d78f937d7f06d856c48067edaa,78,0,1,0
af46a2550927a7d0814d1f75f2f653f69fbaf3739fabf071fe02b0ca73d9285b,149747.66842656123,578595e1e6c206792db979ac736043df86e7b87ec8106ab41b439951c1e01759,1,0,2,0
d3bce55768328f721af61c853b148d6188c7a7e3f601b507b8fd50f433fcfd82,180336.7776471431,64d78d5fab0ab33394f10ee5f58ad134081878d36cf944555630d6566b8f1cb5,83,0,1,0
cc9123d8a318d3393aba56099b7fb58373b47ebf136831d65424d39616daadc6,181045.98375007225,af46a2550927a7d0814d1f75f2f653f69fbaf3739fabf071fe02b0ca73d9285b,1,0,2,0
3a6ad226b509f4760251b334e41c1e357500f3c7611bc03b81133c882830dad0,203151.99385891654,d3bce55768328f721af61c853b148d6188c7a7e3f601b507b8fd50f433fcfd82,8,0,1,0
5d360f87f90b94cd05f45f9be2e5bf694df4ee6c8b27d906b463dfc29d75a174,203573.02971781156,cc9123d8a318d3393aba56099b7fb58373b47ebf136831d65424d39616daadc6,1,0,2,0
866e2599a13fbb3bd86988a263b215bd6eaf0bb4ccaee7c5ec2dddda14f4ac23,237399.8627842854,3a6ad226b509f4760251b334e41c1e357500f3c7611bc03b81133c882830dad0,41,1,1,0
bceb0ff5296f51fe0f61d53af66c81a3ca785f179c49ead398addd93c7c5ef21,237908.032865945,5d360f87f90b94cd05f45f9be2e5bf694df4ee6c8b27d906b463dfc29d75a174,1,0,2,0
f58896d34695f888afe6dfd11481517b5144c3b3ae880f857d0f2ae1bb5e8cc6,246259.75608816204,866e2599a13fbb3bd86988a263b215bd6eaf0bb4ccaee7c5ec2dddda14f4ac23,41,1,1,0
5059ad0dced2a36fe2f4361258ffda3ac703476673f42040833707dff303ebb2,246692.91962779697,bceb0ff5296f51fe0f61d53af66c81a3ca785f179c49ead398addd93c7c5ef21,1,0,2,0
beae3e8ba79cbbd9a0d2783f663d4ec341cc12a599a427ec8ed16aa00b3036a0,269770.697129399,f58896d34695f888afe6dfd11481517b5144c3b3ae880f857d0f2ae1bb5e8cc6,64,1,1,0
fd1ee0f85680d0e0e2fba1d362f1491b7aaa0ef9aaa18e18a9f2a2003abdcc46,269900.1696184486,5059ad0dced2a36fe2f4361258ffda3ac703476673f42040833707dff303ebb2,1,0,2,0
5f54f326f31d64e502817047067118c7cb5ef91618af4e661a2bc12ee062f38d,306218.5379594323,beae3e8ba79cbbd9a0d2783f663d4ec341cc12a599a427ec8ed16aa00b3036a0,96,1,1,0
e0f69026dc13df19a6bc8f27a6dce1d8e304e0d9fb8a3ad9e9112d2d3d5180f5,306657.9212162903,fd1ee0f85680d0e0e2fba1d362f1491b7aaa0ef9aaa18e18a9f2a2003abdcc46,1,0,2,0
