BLOCK ID,TIME STAMP,PARENT ID,MINER,SLOW,LOW_CPU,PRIVATE
83d6199a1acd1ddb2580e2d3b9183ac7be99538c36f90c6853f0422bcc9003c3,0,NULL,0,0,0,0
a229bfbff72f497819612513e847dffb9a08cf45c961ff16167d24b5586d94d6,12573.528167583623,83d6199a1acd1ddb2580e2d3b9183ac7be99538c36f90c6853f0422bcc9003c3,13,0,1,0
2eb0d31abdb169e128862d4dc18f1b34e0af64f658e2363e5225e141fa68fd30,13420.685726764297,83d6199a1acd1ddb2580e2d3b9183ac7be99538c36f90c6853f0422bcc9003c3,2,0,3,0
93097d4cd7847d53f71acbfadc7d16782dad5e4415aa3b0708e632f87cf4f8f1,35124.284516582935,a229bfbff72f497819612513e847dffb9a08cf45c961ff16167d24b5586d94d6,35,1,1,0
a957feff70897692bc41da88bd092e27a265c54216a74d854aa0b2c07d3b66a7,44285.49608238492,93097d4cd7847d53f71acbfadc7d16782dad5e4415aa3b0708e632f87cf4f8f1,65,1,1,0
5d79b32a92b4d0affb214f70cef8b9a189fd0e15ab6444940ee96ef5c5497455,44962.01139130288,93097d4cd7847d53f71acbfadc7d16782dad5e4415aa3b0708e632f87cf4f8f1,1,0,2,0
2fa40345a7ea7d5a0c7078b03d6bf2b5893a188638a763f52b20e65ce6a9c234,51861.565467707514,a957feff70897692bc41da88bd092e27a265c54216a74d854aa0b2c07d3b66a7,23,1,1,0
139f2ec8279a3a54b50ace6a726fc4f031faac3c48c3a333a4e2da29aa81e037,53198.77560903395,a957feff70897692bc41da88bd092e27a265c54216a74d854aa0b2c07d3b66a7,2,0,3,0
315acb2983e4c580ec4de67a6d33740ddf1aedf7b141363334bcb097b4ed470d,56185.83185011797,2fa40345a7ea7d5a0c7078b03d6bf2b5893a188638a763f52b20e65ce6a9c234,1,0,2,0
ef87a7da032ffb89cf1f13429e6bdc5d4da7270fc393bcb4ff341ce8e330184b,55608.3751998567,139f2ec8279a3a54b50ace6a726fc4f031faac3c48c3a333a4e2da29aa81e037,2,0,3,0
61a5b56f08340dc67e60756376166407a173f12dd5fefc32928b2c9202912ee1,60081.4833690536,ef87a7da032ffb89cf1f13429e6bdc5d4da7270fc393bcb4ff341ce8e330184b,56,0,1,0
cdead55a832ea8d9053a295b4f6f566212a553b2366e5f884fd3c9114cf2fc46,71060.72290426528,61a5b56f08340dc67e60756376166407a173f12dd5fefc32928b2c9202912ee1,81,0,1,0
0486765fd653be14603d321cc8e6c8a6ab1054364dc80c054ccf964217b2577b,73055.45935650103,cdead55a832ea8d9053a295b4f6f566212a553b2366e5f884fd3c9114cf2fc46,31,1,1,0
3d6ff2f875c07bd3bbb3450ae0b23b5c19f043a56189b10fa7842e2e5fb954ef,73860.26042611749,cdead55a832ea8d9053a295b4f6f566212a553b2366e5f884fd3c9114cf2fc46,2,0,3,0
556410e8b4d0349aca89066a1e7d2a961a879c9cc09b0b0cde0a65f70d01b543,82368.30801216533,0486765fd653be14603d321cc8e6c8a6ab1054364dc80c054ccf964217b2577b,17,0,1,0
82b84fa7483e04697a444ce4a4a40a1afca7533bf6a19c9f1b6e74a2d837c76c,122419.69823844905,556410e8b4d0349aca89066a1e7d2a961a879c9cc09b0b0cde0a65f70d01b543,5,1,1,0
440740f64d0444eda852546b455803d25895a8d7c58e470a91d7882d37f84540,122887.04492468474,556410e8b4d0349aca89066a1e7d2a961a879c9cc09b0b0cde0a65f70d01b543,1,0,2,0
127c5611f1d619e732902566c5c9d36605e5696041d9c898d1a440d1eaef0bb3,122890.30170586355,440740f64d0444eda852546b455803d25895a8d7c58e470a91d7882d37f84540,1,0,2,0
3b2b34d352aa1ce8aeda3af6c59c702ac05f63fc58235d3d5f13db539d2af7d0,126657.51961234247,127c5611f1d619e732902566c5c9d36605e5696041d9c898d1a440d1eaef0bb3,86,1,1,0
81c3dd129be5bfaf29fff2c47939425f9556f5e1eb4d3a5b4bca9dc7f2be098a,145565.02322985057,3b2b34d352aa1ce8aeda3af6c59c702ac05f63fc58235d3d5f13db539d2af7d0,24,1,1,0
0473ebde80c1c71cfea513810784bbc198e2e28be85ca7169a77704b75c37484,146020.98142996494,3b2b34d352aa1ce8aeda3af6c59c702ac05f63fc58235d3d5f13db539d2af7d0,1,0,2,0
dd1fff82eea8a3e039e1d11b05c6ded6fad8ae9f6cd06286278903a26f204a86,146533.84437671417,3b2b34d352aa1ce8aeda3af6c59c702ac05f63fc58235d3d5f13db539d2af7d0,2,0,3,0
c57f0bc5425daa7bfc0c98c65f3a3d5b06f4cf941c53aa4794a54973a949b8f3,146552.3382889774,dd1fff82eea8a3e039e1d11b05c6ded6fad8ae9f6cd06286278903a26f204a86,2,0,3,0
de2d06d499f8a346e039f230cd27a9344f5eda79c0210055a14ba2c794cd6c2b,167594.27848910744,c57f0bc5425daa7bfc0c98c65f3a3d5b06f4cf941c53aa4794a54973a949b8f3,10,0,1,0
854232458372c445c4e14bac219de195301bdc8814794b74c22debd859f97be5,168085.63606757481,c57f0bc5425daa7bfc0c98c65f3a3d5b06f4cf941c53aa4794a54973a949b8f3,1,0,2,0
4475202a20b48e53bca94d98af45cfad4a5f163eef66be509ed7674cb7c6f8ac,168650.19292559245,c57f0bc5425daa7bfc0c98c65f3a3d5b06f4cf941c53aa4794a54973a949b8f3,2,0,3,0
fff3784899670e74c1150b8940fc08221027fba3603754bc596d89dc356eb8d7,169357.0914678337,de2d06d499f8a346e039f230cd27a9344f5eda79c0210055a14ba2c794cd6c2b,90,1,1,0
4f992c1c7597b31fa86667a6a01d2b3c39a363598bf1b7fe0de4dc1dc828a0d4,179051.84838229173,fff3784899670e74c1150b8940fc08221027fba3603754bc596d89dc356eb8d7,85,1,1,0
11c6fb129901ed103b7e9157af4ef8e2d5f46c1b4e23357bc1f6274051fbef1a,179729.06914939906,fff3784899670e74c1150b8940fc08221027fba3603754bc596d89dc356eb8d7,2,0,3,0
0130b11362531338ef3735b8e75d0f82715d8dceedaf2b30f7773fbadcac5b65,180928.7349418952,4f992c1c7597b31fa86667a6a01d2b3c39a363598bf1b7fe0de4dc1dc828a0d4,83,1,1,0
f2c91bacffa7d73833efd73ddd15cb656b86b367b3348ea5052b7b71f377b0d7,181960.57728486034,11c6fb129901ed103b7e9157af4ef8e2d5f46c1b4e23357bc1f6274051fbef1a,2,0,3,0
872c6348281086340a621dbf852be4bad896ec1e4253f26fb1d0ad9aa0fd8413,181960.61094374256,f2c91bacffa7d73833efd73ddd15cb656b86b367b3348ea5052b7b71f377b0d7,2,0,3,0
e26106261c77c32debf1574c71851c1396548a7a99a691fb991b15e25554ca02,189896.39232802653,872c6348281086340a621dbf852be4bad896ec1e4253f26fb1d0ad9aa0fd8413,100,1,1,0
ecdb56f331d31d5fe1153bed917d95dee8b4e23e007b6851798b618585828ccb,190068.20817744202,872c6348281086340a621dbf852be4bad896ec1e4253f26fb1d0ad9aa0fd8413,88,0,1,0
5243e8d27c70765771e0e58033d73a98787a9a474f86cff24d8748ea023521d8,190788.2090804652,872c6348281086340a621dbf852be4bad896ec1e4253f26fb1d0ad9aa0fd8413,2,0,3,0
