BLOCK ID,TIME STAMP,PARENT ID,MINER,SLOW,LOW_CPU,PRIVATE
f6f66e40dc6edb54c2ad7129c2644e0e687202bafccdfd3b1a59bce32892fdd0,0,NULL,0,0,0,0
8b84e4a23b7086cbaf529eb2aad59803e2d236ba18743fadc88c422f06ca9e65,9167.03364832842,f6f66e40dc6edb54c2ad7129c2644e0e687202bafccdfd3b1a59bce32892fdd0,52,0,1,0
5d03c27aac0a83742ee4bc23de2e2d1cf47311c9d330605462260fe8693e64e0,12315.904646223826,8b84e4a23b7086cbaf529eb2aad59803e2d236ba18743fadc88c422f06ca9e65,89,1,1,0
7746aad8667e11eba9eb0880338216d4bf1ec437b6ae1e78a5e801838fa38b3d,13919.725614294173,5d03c27aac0a83742ee4bc23de2e2d1cf47311c9d330605462260fe8693e64e0,32,1,1,0
c9dc25d130946ea9dbf973f7a2aee913040d15af0c817340f8598267935991ba,16425.898101673793,7746aad8667e11eba9eb0880338216d4bf1ec437b6ae1e78a5e801838fa38b3d,80,1,1,0
bf8678adac23e40d0fabd6b0a49c1860918a474c38b2d6228c0ddaad867f3f27,16884.55940567385,7746aad8667e11eba9eb0880338216d4bf1ec437b6ae1e78a5e801838fa38b3d,1,0,2,0
b4209d89b53800ef9117d90a35d673084699f1015ead0c8a661a6154d786412e,17561.945234583476,c9dc25d130946ea9dbf973f7a2aee913040d15af0c817340f8598267935991ba,40,0,1,0
92053fdd8c1320d022ee2f171eadca9437f4c07b3098191fba3113cb4e56cdd1,17789.067152525262,bf8678adac23e40d0fabd6b0a49c1860918a474c38b2d6228c0ddaad867f3f27,1,0,2,0
90ab288139b2df5597e9782c68dadda3774dada353046626c3fe903af896acdd,23125.458309993737,b4209d89b53800ef9117d90a35d673084699f1015ead0c8a661a6154d786412e,31,0,1,0
6adee91c807454ba36631ba0c4fcad5c2aefdc12748ba0acfa291a41f130f038,23356.30840794003,92053fdd8c1320d022ee2f171eadca9437f4c07b3098191fba3113cb4e56cdd1,1,0,2,0
d1fe7cf37f18de97022095c3cbca1bfd260f76385878876bdacd79f3ff195e9f,38867.29514292691,6adee91c807454ba36631ba0c4fcad5c2aefdc12748ba0acfa291a41f130f038,1,0,2,0
6d5ac7cf65933f411c3a62b53fb784caa9103e90f0a06cd00034d634276a12cd,41988.799786585085,d1fe7cf37f18de97022095c3cbca1bfd260f76385878876bdacd79f3ff195e9f,35,0,1,0
376205fb0445a9ea0680bfc6d50e0a550794896efb8433c61636c057c530f0b1,42493.42156365092,d1fe7cf37f18de97022095c3cbca1bfd260f76385878876bdacd79f3ff195e9f,1,0,2,0
fdef789a7a525e11b9247c28709a3a7ec0fc6a1b4d35a501495d08a889e6e1ab,48045.81257270852,6d5ac7cf65933f411c3a62b53fb784caa9103e90f0a06cd00034d634276a12cd,18,1,1,0
b3cad7259a8b7ed14453f4e873e15c30401a36dc4fcdf8baccdcc6ea3a2f91ea,49959.80876000855,fdef789a7a525e11b9247c28709a3a7ec0fc6a1b4d35a501495d08a889e6e1ab,8,1,1,0
4d27e12f89ef0c8aa0fd65bd2b4f314e0edb83c9cd598f0b3d4f3f916639783f,51788.737129816334,b3cad7259a8b7ed14453f4e873e15c30401a36dc4fcdf8baccdcc6ea3a2f91ea,75,1,1,0
7104c011a64a179af75880e4fd586a25d435d073f2d239b3a63e3239b17b1dc2,62393.8797879375,4d27e12f89ef0c8aa0fd65bd2b4f314e0edb83c9cd598f0b3d4f3f916639783f,82,0,1,0
1da686e5fb711fba76f35b9a99db02a390833839c014a58110090b5b715048ab,62399.654516396455,4d27e12f89ef0c8aa0fd65bd2b4f314e0edb83c9cd598f0b3d4f3f916639783f,1,0,2,0
